1.0	0.0001	4.545151999999997e-09
1.0	0.001	3.016515000000003e-08
1.0	0.006	-1.224000000003414e-10
1.0	0.01	6.912999999999731e-09
1.0	0.02	8.100000000185947e-11
1.65	0.0001	1.9610129333333332e-07
1.65	0.001	7.601698787878787e-08
1.65	0.006	7.93260606060604e-08
1.65	0.01	2.2447696969696822e-07
1.65	0.02	2.635212121212125e-07
2.0	0.0001	3.90392788e-07
2.0	0.001	-1.88345807725463e-07
2.0	0.006	2.0034959999999973e-07
2.0	0.01	-8.754187300000234e-08
2.0	0.02	3.248085776e-05
3.0	0.0001	1.6575524233333332e-07
3.0	0.001	-2.21757944448672e-07
3.0	0.006	4.3538413333333333e-07
3.0	0.01	-2.2798030600000015e-06
3.0	0.02	-2.9058369913333338e-05
4.0	0.0001	4.6404872874999994e-07
4.0	0.001	3.734695800000001e-07
4.0	0.006	7.633503000000003e-07
4.0	0.01	3.1832537499999994e-06
4.0	0.02	5.5436450000000054e-06
5.0	0.0001	4.029963158e-07
5.0	0.001	4.0695876999999997e-07
5.0	0.006	1.240487200000007e-07
5.0	0.01	2.1292681999999982e-06
5.0	0.02	3.555081599999999e-06
6.0	0.0001	2.5412645833333333e-07
6.0	0.001	7.862735666666667e-07
6.0	0.006	5.010459999999998e-07
6.0	0.01	2.458176333333331e-06
6.0	0.02	2.6501821666666708e-06
7.0	0.0001	9.506066285714287e-08
7.0	0.001	3.1154475714285713e-07
7.0	0.006	8.437554285714284e-07
7.0	0.01	3.819248571428566e-06
7.0	0.02	2.616780000000001e-06
