1.0	0.0001	5.1303215999999995e-11
1.0	0.001	3.3570000000000023e-13
1.0	0.006	-3.685999999999257e-15
1.0	0.01	-1.3472000000000127e-13
1.0	0.02	-1.409999999991381e-14
1.65	0.0001	3.1670133333333335e-12
1.65	0.001	6.949939393939395e-13
1.65	0.006	1.6517090909090903e-12
1.65	0.01	-4.1047272727273434e-13
1.65	0.02	-1.5399999999999365e-12
2.0	0.0001	1.5903040000000003e-12
2.0	0.001	3.471642445370827e-12
2.0	0.006	5.3301439999999936e-12
2.0	0.01	-1.3955169899999938e-11
2.0	0.02	-1.4204088499999997e-10
3.0	0.0001	1.9466886666666668e-12
3.0	0.001	8.913764925393742e-12
3.0	0.006	5.9670036666666655e-12
3.0	0.01	-1.3298129920000002e-10
3.0	0.02	5.533911926666662e-10
4.0	0.0001	2.950142500000001e-12
4.0	0.001	1.563664e-11
4.0	0.006	4.825954825e-11
4.0	0.01	5.738959999999998e-11
4.0	0.02	1.6086550000000013e-10
5.0	0.0001	5.475763999999997e-13
5.0	0.001	2.4936599999999997e-12
5.0	0.006	-2.464199999991038e-15
5.0	0.01	2.5201791999999956e-11
5.0	0.02	8.045024000000001e-11
6.0	0.0001	-2.7250000000000136e-14
6.0	0.001	-9.480000000000072e-14
6.0	0.006	1.0999064999999997e-11
6.0	0.01	-3.92058666666661e-12
6.0	0.02	1.3062116666666575e-11
7.0	0.0001	-3.755428571428567e-14
7.0	0.001	-3.42657142857142e-13
7.0	0.006	2.4161714285713835e-13
7.0	0.01	-1.4060800000000028e-11
7.0	0.02	-1.9815142857142864e-11
